OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,,
2,United States: Enterprises and employment in tourism,,,,,,
 , ,Number of establishments,Number of persons employed,,,,
2021,2017,2021,2017,2018,2019,2020,2021
 ,Total, ..,5 936 000,6 103 000,6 070 000,3 887 000 p, ..
 ,Tourism industries,912 696 p,5 166 000,5 316 000,5 282 000,3 234 000 p, ..
 ,Accommodation services for visitors,67 354 p,1 516 000,1 537 000,1 565 000,1 083 000 p, ..
 ,Hotels and similar establishments,59 596 p, .., .., .., .., ..
 ,Food and beverage serving industry,666 409 p,1 720 000,1 776 000,1 701 000,878 000 p, ..
 ,Passenger transport,24 260 p,772 000,795 000,818 000,611 000 p, ..
 ,Air passenger transport,4 344 p,581 000,594 000,618 000,484 000 p, ..
 ,Railways passenger transport, ..,9 000,9 000,9 000,4 000 p, ..
 ,Road passenger transport,16 988 p,141 000,154 000,147 000,95 000 p, ..
 ,Water passenger transport,2 928 p,41 000,38 000,44 000,28 000 p, ..
 ,Passenger transport supporting services, ..,299 000,312 000,319 000,121 000 p, ..
 ,Transport equipment rental,15 891 p,103 000,113 000,128 000,103 000 p, ..
 ,Travel agencies and other reservation services industry,20 710 p,203 000,204 000,203 000,156 000 p, ..
 ,Cultural industry,18 221 p,48 000,48 000,43 000,38 000 p, ..
 ,Sports and recreation industry,99 851 p,505 000,531 000,505 000,244 000 p, ..
 ,Retail trade of country-specific tourism characteristic goods, .., .., .., .., .., ..
 ,Other country-specific tourism industries, .., .., .., .., .., ..
 ,Other industries, ..,770 000,787 000,788 000,653 000 p, ..
..,Not available,,,,,,
p,Provisional data,,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,,